	EntrezId	Symbol.x	EnsemblId	Chr	Start	End	GC	Type	Symbol.y	
11918	8622	PDE8B	ENSG00000284762	5	77086732	77427124	41.54	protein_coding		NO
12137	55300	PI4K2B	ENSG00000281028	4	25160663	25277306	41.33	protein_coding		NO
12138	55300	PI4K2B	ENSG00000038210	4	25233975	25279092	41.82	protein_coding	PI4K2B	OK
13275	5888	RAD51	ENSG00000285396	15	40695129	40732158	43.33	protein_coding		NO
13276	5888	RAD51	ENSG00000051180	15	40694774	40732339	43.47	protein_coding	RAD51	OK
13278	25788	RAD54B	ENSG00000197275	8	94371960	94475109	36.72	protein_coding	RAD54B	OK
13279	25788	RAD54B	ENSG00000265817	8	94372170	94436952	35.6	protein_coding	FSBP	NO
14205	29970	SCHIP1	ENSG00000283154	3	158962235	159897366	39	protein_coding	IQCJ-SCHIP1	NO
14206	29970	SCHIP1	ENSG00000151967	3	159839861	159897360	39.91	protein_coding	SCHIP1	OK
14234	9997	SCO2	ENSG00000284194	22	50523568	50526439	67.13	protein_coding		NO
14235	9997	SCO2	ENSG00000130489	22	50523568	50525606	63.66	protein_coding	SCO2	OK
14382	8293	SERF1A	ENSG00000205572	5	70025247	70043113	43.63	protein_coding	SERF1B	NO
14383	8293	SERF1A	ENSG00000172058	5	70900665	70918530	43.62	protein_coding	SERF1A	OK
15238	6648	SOD2	ENSG00000112096	6	159669057	159745186	42.75	protein_coding	SOD2	OK
15239	6648	SOD2	ENSG00000285441	6	159679119	159762529	42.38	protein_coding		OK
15945	729873	TBC1D3	ENSG00000274512	17	37977972	37989048	59.93	protein_coding	TBC1D3L	NO
15946	729873	TBC1D3	ENSG00000274611	17	38181659	38192541	60.12	protein_coding	TBC1D3	OK
15960	6905	TBCE	ENSG00000284770	1	235367360	235452443	44.21	protein_coding	TBCE	OK
15961	6905	TBCE	ENSG00000285053	1	235328570	235448952	44.34	protein_coding	TBCE	OK
16257	9414	TJP2	ENSG00000119139	9	69121264	69255208	43.45	protein_coding	TJP2	OK
16258	9414	TJP2	ENSG00000285130	9	69035750	69255187	44.06	protein_coding		NO
16400	132332	TMEM155	ENSG00000284849	4	121758930	121765185	41.75	protein_coding		NO
16401	132332	TMEM155	ENSG00000164112	4	121758933	121765427	42.71	protein_coding	TMEM155	OK
17924	9877	ZC3H11A	ENSG00000257315	1	203795714	203854999	40.71	protein_coding	ZBED6	NO
17925	9877	ZC3H11A	ENSG00000058673	1	203795654	203854999	40.73	protein_coding	ZC3H11A	OK
18184	54816	ZNF280D	ENSG00000137871	15	56630181	56734086	34.78	protein_coding	ZNF280D	OK
18185	54816	ZNF280D	ENSG00000285253	15	56652488	56918571	37.87	protein_coding		NO
